id	Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
line11	GOTERM_CC_FAT	GO:0031226~intrinsic component of plasma membrane	105	11.42546246	0.002183511	SCN3A, SLC22A13, ATP1B2, TLR1, GRIN3A, SLC22A10, SLC7A4, VIPR2, KCNK9, MUC12, KCND3, ABCC11, NTSR1, OR1D2, CRHR1, CCR8, VSIG2, SSTR3, RELT, VAMP2, KLRC1, DCBLD2, FXYD2, SLC2A10, CAV1, PKHD1, EPHA10, SLCO2A1, HCRTR1, RASAL1, FOLR2, FOLR1, HLA-DRB4, DIABLO, B3GNT3, SLC30A3, SLC28A2, KLB, KIR2DS4, SLC6A17, AQP10, MUC4, ITGA9, P2RX1, EPHA8, LTB4R2, P2RX2, AVPR1A, SLC13A4, PHEX, SYNGAP1, SLC5A12, RHO, MTNR1A, SLC16A13, SLC5A5, SLC5A4, CORIN, KCNIP2, LGR6, SLC26A1, KCNJ11, KCNJ13, ACVR1C, GPC4, KCNQ3, SLC24A4, SLC25A3, MC5R, MAS1L, MLANA, GPR176, RXFP3, GPR171, ADIPOR1, CACNG3, COL25A1, MMP16, NRXN1, PIGR, GRM1, CD84, CHRM5, GRM7, CNTN2, KCNH2, PTAFR, C9, GPRC5C, PCDHB12, TNFRSF1A, SHISA9, VWC2, RTN4RL2, HPN, FLT3, CD1A, STAB2, TSPAN18, TSPAN19, CD19, SLC17A3, SLC17A2, MEP1A, SCN4A	679	1701	14527	1.320660376	0.809272739	0.809272739	3.276698115
line12	GOTERM_BP_FAT	GO:0003008~system process	118	12.84004353	0.002406786	SCN3A, ATP1B2, ATP6AP2, HOXD1, GRIN3A, HOXD10, CRYGA, HMCN1, CTGF, ASPH, MUC13, OR2S2, KCND3, BARHL1, NTSR1, SIX6, OR1D2, OR1S2, FOXN4, CRHR1, LHFPL5, OR52K2, ARRB2, SIX1, SMPX, CAV3, FXYD2, MYL7, BBS5, CAV1, RTP1, ELN, ATP6V1B1, MEIS2, FGA, IMPG2, OR56B1, TFF1, LPO, OR5P2, NTF4, GRXCR1, MYLPF, TNNI3, MUC6, MUC4, FOXP2, ABCG5, P2RX1, P2RX2, AVPR1A, OR8D2, MYH14, SYNGAP1, OR51A7, ZNF385A, MYLK, RHO, SLC45A2, OR5H1, JPH3, CORIN, TAS2R4, OR1A2, KCNIP2, KCNJ11, SLC24A4, IAPP, NMUR2, MGLL, POU4F2, NPC1L1, NOS2, NR2F2, TRPM5, ACO1, VIL1, CACNG3, INHA, NPAS4, NRXN1, PIGR, GRM1, OR51G1, CDK5, OR2W1, EIF4A3, TAS2R16, CHRM5, OR2H1, OTOF, GRM7, CNTN2, PLA2G6, CUX2, KCNH2, OAT, PTAFR, OR1C1, NDUFB9, OR1L3, OR5A1, GJC3, MEG3, FOXD1, SCO2, HRC, HPN, TMC1, BRS3, GJB6, DBH, SOD1, VSX1, OR2F1, NEB, SCN4A, VLDLR	754	2014	16650	1.293794895	0.99999966	0.844604849	4.579927851
line13	GOTERM_BP_FAT	GO:1901566~organonitrogen compound biosynthetic process	85	9.249183896	0.002731513	NCBP2, MOCOS, NDST3, MRPL41, GPR161, RBM3, RPLP0P6, ESD, CNOT2, SYNCRIP, SLC26A1, VIPR2, GSTM5, YBX2, AFMID, GPC4, ST6GALNAC5, ELOVL5, HDC, SLC25A3, MC5R, CHST13, MRPL37, NOS2, NT5E, MRPL35, ATP5J, PADI2, CHST5, DGUOK, PRKCD, MTRR, RSL1D1, CRHR1, TARS, EIF4A3, PDCL3, GRM7, MRPL49, PLA2G6, SMS, AARS2, OAT, PTAFR, TPH2, GGCT, ST8SIA3, KMO, OAS2, ST8SIA2, MTIF2, ATP5G3, UHMK1, TNFRSF1A, OAZ1, MPV17L2, EIF3H, NMRAL1, B3GNT3, THBS1, B4GALT4, DCAKD, MARS, MRPS26, ERH, MRPS22, PAIP1, ATP5F1, AK2, EPRS, ILF3, SSB, DBH, MRPL28, P2RX1, TSC1, TSFM, POLDIP3, LTB4R2, ZNF385A, EIF4E2, TRMT112, ADAR, DUT, MTNR1A	754	1375	16650	1.365083193	0.999999955	0.847182229	5.182403603
line14	GOTERM_BP_FAT	GO:0035637~multicellular organismal signaling	16	1.741022851	0.002907628	KCND3, CAV1, SCN3A, ATP1B2, CACNG3, SOD1, KCNIP2, GJC3, CHRM5, P2RX1, GRM7, AVPR1A, MYH14, KCNH2, SCN4A, HRC	754	148	16650	2.387267905	0.999999985	0.834671811	5.507643934
line15	GOTERM_BP_FAT	GO:0098655~cation transmembrane transport	49	5.331882481	0.002923979	CAV3, FXYD2, JPH3, SLC5A5, CAV1, UQCRC1, SCN3A, ATP1B2, WNT3A, COX7B, GRIN3A, ATP6V1G1, ATP6V1B1, KCNIP2, KCNJ11, ATP5G3, KCNJ13, KCNQ3, KCNK9, SLC24A4, TTYH1, SLC30A3, ASPH, MTMR6, AHNAK, HRC, ATP5J, HPN, TRPM6, KCND3, TRPM5, ATP5F1, CACNG3, TMC1, NTSR1, CRHR1, CD19, P2RX1, SLC17A3, GRM7, P2RX2, SLC17A2, PLA2G6, SLC13A4, VAMP2, ATP6V1G3, KCNH2, PKDREJ, SCN4A	754	703	16650	1.53915957	0.999999986	0.8070679	5.537785762
line16	GOTERM_BP_FAT	GO:0052548~regulation of endopeptidase activity	30	3.264417845	0.003154058	CAST, WNT3A, TNFSF14, PDCD2, ACVR1C, CDKN2A, MEFV, HSF1, SPINT2, CTGF, DIABLO, HRG, ASPH, THBS1, CRIM1, MT3, FETUB, VIL1, BIRC7, WFDC13, ARRB2, P2RX1, CPAMD8, PSME2, PSMA3, USP47, SERPINB4, PDCD6, WFDC2, DNAJB6	754	372	16650	1.780824848	0.999999997	0.803515224	5.960962702
line17	GOTERM_BP_FAT	GO:0032870~cellular response to hormone stimulus	44	4.78781284	0.003169646	CSH1, PTGES3, CAV1, SLC5A5, CNOT2, AP3S1, ATP6V1G1, ATP6V1B1, WNT1, HCRTR1, AKR1C4, HSF1, POU4F2, GNG2, ROBO2, GPHB5, NR2F2, MT3, GNG7, GPR173, ESRRA, CYP11A1, FLT3, RELA, TAF7, ADIPOR1, PADI2, NPAS4, PRKCD, HNRNPU, CRHR1, HDAC5, SSTR3, SFRP1, TSC1, ARRB2, EPHA8, AVPR1A, DENND4C, VAMP2, PTPN1, CA2, ATP6V1G3, RAB10	754	616	16650	1.577302008	0.999999997	0.778965859	5.989566927
line18	GOTERM_BP_FAT	GO:0052547~regulation of peptidase activity	31	3.373231774	0.004135343	CAST, CAV1, WNT3A, TNFSF14, PDCD2, ACVR1C, CDKN2A, MEFV, HSF1, SPINT2, CTGF, DIABLO, HRG, ASPH, THBS1, CRIM1, MT3, FETUB, VIL1, BIRC7, WFDC13, ARRB2, P2RX1, CPAMD8, PSME2, PSMA3, USP47, SERPINB4, PDCD6, WFDC2, DNAJB6	754	396	16650	1.728659272	1	0.839512512	7.745695373
line19	GOTERM_BP_FAT	GO:0043269~regulation of ion transport	40	4.352557127	0.004215027	CAV3, FXYD2, JPH3, CAV1, SCN3A, ATP1B2, WNT3A, KCNIP2, CCL4, KCNJ11, KCNJ13, KCNQ3, SHISA9, TTYH1, CD4, ASPH, THBS1, AHNAK, HRC, KCND3, TRPM5, CACNG3, NRXN1, NTSR1, CD84, CRHR1, CD19, ARRB2, P2RX1, SLC17A3, GRM7, P2RX2, AVPR1A, PLA2G6, VAMP2, CA2, KCNH2, SCN4A, PTAFR, MYLK	754	554	16650	1.594384702	1	0.824574888	7.889204142
line20	GOTERM_BP_FAT	GO:0006811~ion transport	88	9.57562568	0.004378058	SLC16A13, S100A6, SLC5A5, JPH3, SLC5A4, UQCRC1, SCN3A, SLC22A13, ATP1B2, WNT3A, SLC22A10, GRIN3A, SLC7A4, SLC26A1, KCNIP2, KCNJ11, KCNJ13, KCNK9, KCNQ3, AKR1C4, SLC24A4, CTGF, NMUR2, SLC25A3, NIPAL3, NOS2, ASPH, AHNAK, MT3, ATP5J, KCND3, TRPM6, TRPM5, ZP2, ABCC11, CACNG3, NRXN1, NTSR1, CDK5, CD84, CRHR1, LHFPL5, ARRB2, GRM7, PLA2G6, PLLP, ATP6V1G3, CA2, VAMP2, CA1, KCNH2, PTAFR, PKDREJ, CAV3, FXYD2, CAV1, SLC2A10, COX7B, ATP6V1G1, ATP6V1B1, CCL4, ATP5G3, SLCO2A1, SHISA9, TTYH1, CD4, SLC30A3, MTMR6, THBS1, HRC, SCO2, HPN, TMC8, ATP5F1, TMC1, SLC6A17, AQP10, CD19, SLC17A3, P2RX1, TSC1, SLC17A2, P2RX2, AVPR1A, SLC13A4, MYLK, SCN4A, SLC5A12	754	1458	16650	1.332809379	1	0.816402942	8.18215712
line21	GOTERM_BP_FAT	GO:0032412~regulation of ion transmembrane transporter activity	18	1.958650707	0.004415537	CAV3, FXYD2, JPH3, CAV1, ATP1B2, CACNG3, NRXN1, NTSR1, KCNIP2, KCNJ11, CRHR1, SHISA9, PLA2G6, VAMP2, ASPH, PTAFR, HRC, AHNAK	754	185	16650	2.148541114	1	0.799910841	8.249377971
line22	GOTERM_BP_FAT	GO:0034220~ion transmembrane transport	62	6.746463547	0.004724683	SLC16A13, SLC5A5, JPH3, S100A6, UQCRC1, SCN3A, ATP1B2, WNT3A, GRIN3A, SLC26A1, KCNIP2, SLC7A4, KCNJ11, KCNJ13, KCNK9, KCNQ3, SLC24A4, NMUR2, SLC25A3, ASPH, AHNAK, ATP5J, KCND3, TRPM6, TRPM5, ABCC11, CACNG3, NRXN1, NTSR1, CRHR1, GRM7, PLA2G6, ATP6V1G3, VAMP2, KCNH2, PTAFR, PKDREJ, CAV3, FXYD2, CAV1, COX7B, ATP6V1G1, ATP6V1B1, ATP5G3, SHISA9, TTYH1, SLC30A3, MTMR6, THBS1, HRC, HPN, ATP5F1, TMC1, AQP10, CD19, P2RX1, SLC17A3, P2RX2, SLC17A2, SLC13A4, SCN4A, SLC5A12	754	963	16650	1.421701083	1	0.803333975	8.802076694
line23	GOTERM_BP_FAT	GO:0009725~response to hormone	56	6.093579978	0.005234252	CSH1, PTGES3, MMS19, SLC5A5, CNOT2, AP3S1, ACVR1C, WNT1, AKR1C4, HSF1, CTGF, POU4F2, ROBO2, GNG2, GPHB5, NR2F2, MT3, GNG7, GPR173, RBBP4, CYP11A1, RELA, PADI2, ADIPOR1, NPAS4, PRKCD, HNRNPU, CRHR1, SSTR3, ARRB2, VAMP2, CA2, ATP6V1G3, RAB10, PTAFR, TPH2, PAM, CAV1, PFKFB1, ATP6V1G1, ATP6V1B1, HCRTR1, OXCT1, TFF1, THBS1, ESRRA, HPN, FLT3, TAF7, HDAC5, TSC1, SFRP1, EPHA8, AVPR1A, DENND4C, PTPN1	754	854	16650	1.448014958	1	0.818637361	9.706210424
line24	GOTERM_BP_FAT	GO:0032409~regulation of transporter activity	19	2.067464635	0.005287529	CAV3, FXYD2, JPH3, CAV1, ATP1B2, CACNG3, NRXN1, NTSR1, KCNIP2, PRKCD, KCNJ11, CRHR1, SHISA9, PLA2G6, VAMP2, ASPH, PTAFR, HRC, AHNAK	754	204	16650	2.056678109	1	0.805718321	9.800247802
line25	GOTERM_CC_FAT	GO:0005887~integral component of plasma membrane	99	10.77257889	0.005292172	SCN3A, SLC22A13, ATP1B2, TLR1, GRIN3A, SLC22A10, SLC7A4, VIPR2, KCNK9, MUC12, KCND3, ABCC11, NTSR1, OR1D2, CRHR1, CCR8, VSIG2, SSTR3, RELT, VAMP2, KLRC1, DCBLD2, FXYD2, SLC2A10, CAV1, EPHA10, SLCO2A1, HCRTR1, FOLR1, HLA-DRB4, DIABLO, B3GNT3, SLC30A3, SLC28A2, KLB, KIR2DS4, SLC6A17, AQP10, MUC4, ITGA9, P2RX1, EPHA8, LTB4R2, P2RX2, AVPR1A, SLC13A4, PHEX, SLC5A12, RHO, MTNR1A, SLC16A13, SLC5A5, SLC5A4, CORIN, LGR6, KCNIP2, SLC26A1, KCNJ11, KCNJ13, ACVR1C, GPC4, KCNQ3, SLC24A4, SLC25A3, MC5R, MAS1L, MLANA, GPR176, RXFP3, GPR171, CACNG3, COL25A1, MMP16, NRXN1, PIGR, GRM1, CD84, CHRM5, GRM7, CNTN2, KCNH2, PTAFR, GPRC5C, C9, PCDHB12, TNFRSF1A, SHISA9, VWC2, HPN, FLT3, CD1A, STAB2, TSPAN18, TSPAN19, CD19, SLC17A3, SLC17A2, MEP1A, SCN4A	679	1635	14527	1.295458783	0.982085031	0.866153187	7.768969374
line26	GOTERM_BP_FAT	GO:0050954~sensory perception of mechanical stimulus	16	1.741022851	0.005378862	HPN, BARHL1, GRXCR1, NDUFB9, TMC1, GJB6, SOD1, ATP6V1B1, GJC3, LHFPL5, OTOF, GRM7, SIX1, P2RX2, POU4F2, MYH14	754	158	16650	2.236174999	1	0.795554042	9.961241321
line27	GOTERM_BP_FAT	GO:0043086~negative regulation of catalytic activity	55	5.98476605	0.0055966	CAST, TNFSF14, ZNF675, LRRC15, CDKN2A, SPINT2, CDK5RAP3, PSMD5, NR2F2, MT3, APCS, VIL1, PRKCD, PKIA, MTRR, WFDC13, ARRB2, CPAMD8, PSME2, GRM7, PSMA3, BUB1B, CAND1, SERPINB4, WFDC2, CAV3, CAV1, PSMA7, TRIB1, UGT1A9, OAZ1, PSMB6, LRRTM3, HRG, RTN4RL2, THBS1, CRIM1, TERF1, PCIF1, FETUB, GRXCR1, TAF7, BIRC7, TNNI3, PRPSAP2, CORO1C, SFRP1, CD300A, LTB4R2, USP47, FAF2, PTPN1, DUSP8, DNAJB6, ADAR	754	839	16650	1.447583488	1	0.793366085	10.34394812
line28	GOTERM_BP_FAT	GO:0031397~negative regulation of protein ubiquitination	14	1.523394995	0.005636018	CAV1, USP4, PSMA7, CDK5, WNT1, PDCL3, N4BP1, CDKN2A, PSMB6, ARRB2, PSME2, PSMA3, BUB1B, PSMD5	754	129	16650	2.396520881	1	0.781048039	10.41306721
line29	GOTERM_BP_FAT	GO:0022898~regulation of transmembrane transporter activity	18	1.958650707	0.005761163	CAV3, FXYD2, JPH3, CAV1, ATP1B2, CACNG3, NRXN1, NTSR1, KCNIP2, KCNJ11, CRHR1, SHISA9, PLA2G6, VAMP2, ASPH, PTAFR, HRC, AHNAK	754	190	16650	2.092000558	1	0.774182956	10.63217001
line30	GOTERM_BP_FAT	GO:0034762~regulation of transmembrane transport	31	3.373231774	0.00577747	CAV3, FXYD2, JPH3, CAV1, SCN3A, ATP1B2, WNT3A, KCNIP2, KCNJ11, KCNJ13, KCNQ3, SHISA9, OAZ1, ASPH, THBS1, HRC, AHNAK, KCND3, TRPM5, CACNG3, NRXN1, NTSR1, CRHR1, CD19, SLC17A3, PLA2G6, CA2, VAMP2, KCNH2, PTAFR, SCN4A	754	406	16650	1.686081457	1	0.761303899	10.66068263
line31	GOTERM_BP_FAT	GO:0006508~proteolysis	99	10.77257889	0.006109545	CAST, CNDP1, ATP6AP2, WNT3A, GNA12, TNFSF14, KLHL7, WNT1, CDKN2A, HTRA1, CTGF, IGLV6-57, ASPH, TMPRSS13, F11, RELA, CTRB2, WFDC13, ARRB2, PSMA3, YME1L1, FBXO15, WFDC2, CAV3, CAV1, ADAMTSL3, MST1, PSMA7, PSMB6, FGA, FBXW5, KBTBD4, KLKB1, DIABLO, RNF11, ASRGL1, TAF9, SEC11C, SEC11A, RNF7, P2RX1, SFRP1, PHEX, PDCD6, DNAJB6, UQCRC2, METAP2, UQCRC1, CORIN, TSG101, UBE2G2, BAP1, ACVR1C, PDCD2, HSF1, SPINT2, DPEP3, KLK11, CDK5RAP3, PSMD5, KLK15, MT3, UBE2A, VIL1, UBE2I, MMP16, CDK5, GZMM, PDCL3, PSME2, CPAMD8, CNTN2, BUB1B, SERPINB4, SUSD4, ADAM19, USP26, OTUD5, C9, USP2, USP4, TRIM13, TRIB1, N4BP1, MEFV, PPP2CB, FCN1, HRG, C2, THBS1, USP33, CRIM1, HPN, FETUB, BIRC7, USP47, MEP1A, FAF2, PRSS21	754	1693	16650	1.291282093	1	0.767038451	11.23943844
line32	GOTERM_MF_FAT	GO:0046873~metal ion transmembrane transporter activity	32	3.482045702	0.00613572	FXYD2, JPH3, SLC5A5, SLC5A4, SCN3A, ATP1B2, GRIN3A, KCNIP2, KCNJ11, KCNJ13, KCNQ3, KCNK9, SLC24A4, TTYH1, NIPAL3, SLC30A3, SLC28A2, MTMR6, TRPM6, KCND3, HPN, TRPM5, CACNG3, TMC1, SLC6A17, SLC17A3, GRM7, SLC17A2, SLC13A4, KCNH2, SCN4A, PKDREJ	706	422	15478	1.662446464	0.999652268	0.863443911	9.555466963
line33	GOTERM_BP_FAT	GO:0055085~transmembrane transport	80	8.705114255	0.006232812	SLC16A13, SLC5A5, JPH3, S100A6, SLC5A4, UQCRC1, SCN3A, SLC22A13, ATP1B2, WNT3A, SLC22A10, GRIN3A, SRP19, SLC26A1, KCNIP2, SLC7A4, KCNJ11, KCNJ13, KCNK9, KCNQ3, SLC24A4, NMUR2, SLC25A3, NIPAL3, TIMM23B, ASPH, AHNAK, ATP5J, KCND3, SVOP, TRPM6, TRPM5, RALBP1, ABCC11, CACNG3, NRXN1, NTSR1, CRHR1, GRM7, PLA2G6, ATP6V1G3, SRP72, CA2, VAMP2, KCNH2, PTAFR, PKDREJ, CAV3, FXYD2, CAV1, SLC2A10, MCL1, COX7B, ATP6V1G1, ATP6V1B1, ATP5G3, SHISA9, OAZ1, TTYH1, HSPA4, SLC30A3, MTMR6, THBS1, SLC28A2, HRC, HPN, SPNS3, ATP5F1, TMC1, SLC6A17, AQP10, CD19, ABCG5, SLC17A3, P2RX1, SLC17A2, P2RX2, SLC13A4, SCN4A, SLC5A12	754	1322	16650	1.33629217	1	0.761006145	11.45336695
line34	GOTERM_BP_FAT	GO:0043603~cellular amide metabolic process	63	6.855277476	0.006310899	NCBP2, MRPL41, ALDH1L1, CORIN, CNDP1, ATP6AP2, RBM3, RPLP0P6, CNOT2, SYNCRIP, GSTM5, YBX2, ST6GALNAC5, SLC25A3, MRPL37, MRPL35, ACO1, PRKCD, MTRR, RSL1D1, TARS, EIF4A3, MRPL49, PLA2G6, NEU1, AARS2, PTAFR, PAM, GGCT, ST8SIA3, ST8SIA2, MTIF2, UHMK1, GLRX2, TNFRSF1A, MPV17L2, LRRTM3, EIF3H, FOLR1, NMRAL1, TMED10, THBS1, ALLC, MARS, MRPS26, SEC11C, MRPS22, PAIP1, SEC11A, EPRS, ILF3, SSB, SOD1, AMDHD1, P2RX1, MRPL28, TSC1, POLDIP3, TSFM, ZNF385A, EIF4E2, TRMT112, ADAR	754	994	16650	1.399577838	1	0.752797014	11.5886334
line35	GOTERM_MF_FAT	GO:0003697~single-stranded DNA binding	12	1.305767138	0.006677714	FUBP1, CDC45, CNBP, HSF1, WBP11, TSN, TERF2IP, MCM4, PMS1, PURB, MCM6, TERF1	706	102	15478	2.579236794	0.999828331	0.823421259	10.35698558
line36	GOTERM_BP_FAT	GO:0019226~transmission of nerve impulse	9	0.979325354	0.007243404	CHRM5, SCN3A, P2RX1, GRM7, AVPR1A, CACNG3, MYH14, SOD1, SCN4A	754	63	16650	3.154604017	1	0.787637923	13.18889337
line37	GOTERM_BP_FAT	GO:0071375~cellular response to peptide hormone stimulus	24	2.611534276	0.008002101	GPR173, CSH1, ESRRA, CAV1, CYP11A1, RELA, AP3S1, ADIPOR1, ATP6V1G1, ATP6V1B1, PRKCD, CRHR1, HDAC5, WNT1, HSF1, TSC1, DENND4C, GNG2, CA2, ATP6V1G3, VAMP2, PTPN1, RAB10, GNG7	754	295	16650	1.796520254	1	0.808971273	14.47057346
